,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    2.278034
HAVE_HASH      0.821933
DIAGNOSTIC     0.350525
#yes           0.000197
dtype: float64","count    327.000000
mean      41.118881
std       45.445575
min        0.000029
25%        9.360942
50%       20.994874
75%       69.144098
max      151.138332
Name: % error, dtype: float64",4
1,Lasso,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.1,"HAVE_CRYPTO    2.221966
HAVE_HASH      0.759511
DIAGNOSTIC     0.281289
#yes           0.006625
dtype: float64","count    327.000000
mean      37.473909
std       37.260577
min        2.382839
25%       10.236538
50%       24.641075
75%       60.959941
max      128.631362
Name: % error, dtype: float64",4
2,Ridge,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')",Ridge(alpha=0.01),Performance,0.1,"HAVE_CRYPTO    2.274489
HAVE_HASH      0.820698
DIAGNOSTIC     0.348994
#yes           0.000482
dtype: float64","count    327.000000
mean      40.999409
std       45.206616
min        0.007915
25%        9.443979
50%       21.185229
75%       69.031446
max      150.351044
Name: % error, dtype: float64",4
3,ElasticNet,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=100)",Performance,0.1,"HAVE_CRYPTO    2.221966
HAVE_HASH      0.759511
DIAGNOSTIC     0.281289
#yes           0.006625
dtype: float64","count    327.000000
mean      37.473909
std       37.260577
min        2.382839
25%       10.236538
50%       24.641075
75%       60.959941
max      128.631362
Name: % error, dtype: float64",4
4,PolynomialRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    1.330047
HAVE_HASH      0.082252
#yes           0.033514
DIAGNOSTIC     0.018467
dtype: float64","count    327.000000
mean       1.177052
std        1.197734
min        0.007225
25%        0.346776
50%        0.782936
75%        1.549580
max        7.365767
Name: % error, dtype: float64",4
5,RandomForest,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')",RandomForestRegressor(),Performance,0.1,"HAVE_CRYPTO   NaN
HAVE_HASH     NaN
DIAGNOSTIC    NaN
#yes          NaN
Name: % error, dtype: float64","count    327.000000
mean       3.848712
std        5.942732
min        0.006696
25%        0.378813
50%        0.815453
75%        7.239675
max       22.561711
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"HAVE_CRYPTO   NaN
HAVE_HASH     NaN
DIAGNOSTIC    NaN
#yes          NaN
Name: % error, dtype: float64","count    327.000000
mean       3.081107
std        5.357589
min        0.005548
25%        0.368940
50%        0.869878
75%        2.552645
max       21.290944
Name: % error, dtype: float64",4
7,DecisionTree,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"HAVE_CRYPTO   NaN
HAVE_HASH     NaN
DIAGNOSTIC    NaN
#yes          NaN
Name: % error, dtype: float64","count    327.000000
mean       5.471310
std       12.995139
min        0.003124
25%        0.343248
50%        0.772564
75%        1.520767
max       47.334250
Name: % error, dtype: float64",4
8,LinearRegression,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO    2.229035
HAVE_HASH      0.720745
DIAGNOSTIC     0.256238
#yes           0.005070
dtype: float64","count    291.000000
mean      36.472981
std       36.548105
min        4.011035
25%       11.270119
50%       18.275731
75%       55.236076
max      126.314260
Name: % error, dtype: float64",4
9,Lasso,False,DecisionTree,"Index(['HAVE_CRYPTO', 'HAVE_HASH', 'DIAGNOSTIC', '#yes'], dtype='object')","Lasso(alpha=0.01, max_iter=10)",Performance,0.2,"HAVE_CRYPTO    2.179046
HAVE_HASH      0.668676
DIAGNOSTIC     0.210404
#yes           0.005060
dtype: float64","count    291.000000
mean      33.545790
std       29.853480
min        6.134916
25%       12.155100
50%       22.329855
75%       49.114942
max      106.013038
Name: % error, dtype: float64",4
